,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
144,Retief Goosen,50,70.297,292.9,53.55,58.91,-.020,.225,.206,"3,796",1,,2007,"$1,044,386",RSA
145,Rich Barcelo,80,71.659,286.0,58.07,63.11,.435,-.857,-.422,"1,217",1,,2007,"$334,244",USA
146,Rich Beem,89,71.036,291.0,65.25,64.36,.027,.228,.254,"3,987",2,,2007,"$868,658",USA
147,Richard Johnson,93,71.555,281.1,65.56,64.65,.240,-.638,-.398,"1,294",,,2007,"$377,951",SWE
148,Robert Allenby,90,70.462,299.6,60.85,68.29,-.364,1.034,.670,"10,470",8,,2007,"$2,219,538",AUS
149,Robert Gamez,88,71.629,281.2,69.28,65.81,-.215,-.197,-.413,"1,217",3,,2007,"$693,464",USA
150,Robert Garrigus,95,71.358,310.5,52.86,67.02,-.062,.080,.018,"4,441",4,,2007,"$1,260,010",USA
151,Rocco Mediate,72,70.998,278.1,67.76,64.89,-.041,.249,.208,"5,271",3,,2007,"$1,166,294",USA
152,Rod Pampling,92,70.335,286.4,63.33,65.12,.010,.638,.649,"6,180",2,,2007,"$1,475,970",AUS
153,Rory Sabbatini,81,69.741,289.9,59.14,61.60,.549,.716,1.265,"21,491",10,1,2007,"$4,550,040",RSA
154,Ryan Armour,107,71.048,284.7,70.31,66.29,.129,-.165,-.036,"2,705",3,,2007,"$862,979",USA
155,Ryan Moore,92,70.700,290.7,64.00,65.64,.133,.355,.488,"6,171",3,,2007,"$1,554,901",USA
156,Ryan Palmer,91,71.680,294.9,57.92,63.80,.102,-.296,-.194,"2,142",1,,2007,"$524,988",USA
157,Ryuji Imada,104,70.952,282.6,58.77,62.72,.474,-.214,.260,"6,071",2,,2007,"$1,414,864",JPN
158,Scott Gutschewski,67,71.994,306.1,55.96,62.70,.030,-.866,-.837,870,,,2007,"$252,179",USA
159,Scott Verplank,82,69.693,279.6,71.42,64.33,-.236,1.179,.943,"13,403",10,1,2007,"$3,114,289",USA
160,Sean O'Hair,98,70.190,296.8,64.71,67.12,.180,.972,1.152,"6,292",5,,2007,"$1,921,226",USA
161,Sergio Garcia,68,69.481,294.2,56.28,64.56,.269,1.192,1.461,"15,824",7,,2007,"$3,721,185",ESP
162,Shaun Micheel,91,70.964,284.4,67.72,66.04,-.027,.393,.366,"3,263",3,,2007,"$948,195",USA
163,Shigeki Maruyama,84,71.175,277.7,63.02,60.98,.396,-.461,-.065,"1,942",2,,2007,"$951,288",JPN
164,Stephen Ames,81,70.090,282.2,67.07,64.94,.251,.330,.580,"5,100",4,1,2007,"$2,103,426",CAN
165,Stephen Leaney,82,70.820,277.4,65.82,68.43,.219,.193,.412,"4,596",2,,2007,"$1,015,200",AUS
166,Steve Allan,63,70.873,302.4,60.05,64.78,.259,-.015,.244,"2,479",1,,2007,"$568,059",AUS
167,Steve Elkington,87,70.532,280.7,71.84,63.05,.324,.505,.830,"3,965",2,,2007,"$911,875",AUS
