,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
819,Ernie Els,71,71.062,288.1,60.1,69.89,-0.705,0.865,0.16,924,1,0,2011,948872,RSA
820,Fabián Gómez,84,71.639,288.4,63.08,65.2,-0.11699999999999999,-0.485,-0.602,208,1,0,2011,381730,ARG
821,Freddie Jacobson,92,69.854,287.4,60.82,63.56,0.629,0.275,0.904,488,3,1,2011,2488325,SWE
822,Garrett Willis,71,71.458,279.7,67.85,64.41,-0.031,-0.247,-0.278,270,1,0,2011,526390,USA
823,Gary Woodland,93,69.875,310.5,58.07,69.41,-0.11599999999999999,1.157,1.041,773,6,1,2011,3448591,USA
824,Geoff Ogilvy,69,70.164,290.0,62.89,62.63,0.517,0.205,0.722,608,4,0,2011,1916994,AUS
825,George McNeill,69,70.797,295.0,59.95,64.21,-0.018000000000000002,0.016,-0.002,889,4,0,2011,1458110,USA
826,Graeme McDowell,50,70.997,289.5,66.31,66.08,0.132,0.066,0.19699999999999998,765,3,0,2011,1088898,NIR
827,Greg Chalmers,88,70.596,279.6,62.42,61.24,0.635,-0.215,0.42,692,2,0,2011,832191,AUS
828,Harrison Frazar,58,70.891,301.8,51.49,62.45,-0.386,0.121,-0.266,713,1,1,2011,1322267,USA
829,Heath Slocum,89,70.988,281.9,74.92,71.4,-0.493,0.457,-0.036000000000000004,388,0,0,2011,767216,USA
830,Hunter Haas,96,70.82600000000001,288.5,63.76,66.24,0.364,-0.08199999999999999,0.282,499,4,0,2011,1039987,USA
831,Hunter Mahan,92,69.905,291.6,62.85,68.79,0.527,0.691,1.218,1800,9,0,2011,3503540,USA
832,Ian Poulter,52,70.824,282.8,64.76,65.58,0.27,-0.032,0.23800000000000002,639,1,0,2011,739926,ENG
833,J.B. Holmes,57,70.523,318.4,52.09,66.46,-0.064,0.912,0.847,640,4,0,2011,1398583,USA
834,J.J. Henry,96,70.671,291.1,66.43,68.96,0.139,0.233,0.37200000000000005,739,1,0,2011,873377,USA
835,J.P. Hayes,56,72.048,282.7,64.36,61.52,0.024,-0.552,-0.528,147,0,0,2011,186769,USA
836,James Driscoll,71,71.277,298.5,55.79,63.5,-0.025,-0.184,-0.209,353,2,0,2011,741010,USA
837,Jarrod Lyle,83,71.617,286.1,58.86,61.95,-0.163,-0.657,-0.82,217,1,0,2011,317459,AUS
838,Jason Bohn,74,71.336,284.9,67.48,67.3,-0.069,-0.075,-0.14400000000000002,284,0,0,2011,411943,USA
839,Jason Day,76,69.706,302.6,54.7,64.92,0.5760000000000001,0.4,0.976,1058,10,0,2011,3962647,AUS
840,Jason Dufner,78,70.2,286.8,65.81,66.95,-0.11599999999999999,0.833,0.7170000000000001,583,6,0,2011,3057860,USA
841,Jeff Overton,92,70.80199999999999,295.3,60.46,64.53,0.154,0.042,0.196,619,4,0,2011,1290962,USA
842,Jerry Kelly,85,70.241,275.6,73.3,66.25,0.257,0.41,0.667,1450,4,0,2011,1451797,USA
843,Jhonattan Vegas,84,70.96600000000001,304.9,54.65,67.22,-0.315,0.14300000000000002,-0.172,1149,3,1,2011,1854414,VEN
844,Jim Furyk,87,70.37,281.4,68.0,67.57,-0.16,0.816,0.655,1468,4,0,2011,1529690,USA
845,Jim Herman,69,71.377,301.7,56.98,67.94,-0.344,0.165,-0.18,160,0,0,2011,196845,USA
846,Jim Renner,65,71.372,296.8,59.1,65.01,0.149,-0.261,-0.111,149,2,0,2011,392945,USA
847,Jimmy Walker,79,70.42399999999999,298.8,53.13,63.92,0.222,0.155,0.376,1252,4,0,2011,1336556,USA
848,Joe Durant,71,71.428,283.6,75.65,71.26,-0.861,0.629,-0.233,260,0,0,2011,358790,USA
849,Joe Ogilvie,75,71.215,291.6,56.62,62.6,0.16699999999999998,-0.473,-0.306,379,1,0,2011,726866,USA
850,John Merrick,71,70.423,297.2,67.31,68.69,0.057999999999999996,0.37200000000000005,0.43,535,1,0,2011,704789,USA
851,John Rollins,85,70.584,296.7,66.84,69.08,-0.10099999999999999,0.773,0.6709999999999999,616,4,0,2011,1370566,USA
852,John Senden,94,70.199,293.3,66.82,70.86,0.302,0.665,0.9670000000000001,1030,3,0,2011,2294811,AUS
853,Johnson Wagner,81,70.654,282.2,67.35,67.17,0.42700000000000005,-0.37,0.057,842,1,1,2011,1224556,USA
854,Jonathan Byrd,83,70.783,291.6,60.33,65.65,0.11599999999999999,0.354,0.469,565,5,1,2011,2938920,USA
855,Joseph Bramlett,73,71.714,295.6,59.54,65.21,-0.581,0.111,-0.47,110,0,0,2011,178728,USA
856,Josh Teater,104,71.057,302.3,61.48,66.89,-0.08900000000000001,0.174,0.085,513,2,0,2011,769324,USA
857,Justin Hicks,60,72.008,286.0,69.88,65.71,-0.955,-0.461,-1.416,145,0,0,2011,284990,USA
858,Justin Leonard,82,71.002,280.1,65.29,64.91,-0.11,0.011000000000000001,-0.099,328,1,0,2011,952962,USA
859,Justin Rose,79,70.332,290.6,63.27,69.48,0.047,0.937,0.9840000000000001,2253,5,1,2011,3401420,ENG
860,K.J. Choi,77,69.993,285.6,61.99,65.93,0.163,0.915,1.079,1207,8,1,2011,4434691,KOR
